Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,5/14/2015,235.5478,241.3529,243.5782,234.1023
BTC,5/15/2015,237.5737,235.5478,238.3988,233.2737
BTC,5/18/2015,236.2319,236.339,237.56239,235.4227
BTC,5/19/2015,233.3119,236.2319,236.6813,231.721
BTC,5/20/2015,232.7193,233.3119,234.003,231.74769
BTC,5/21/2015,234.204,232.7193,234.89,231.7217
BTC,5/22/2015,235.86329,234.204,236.4532,233.98229
BTC,5/25/2015,240.9415,239.7985,242.6293,238.99
BTC,5/26/2015,237.6588,240.9415,241.5843,236.6709
BTC,5/27/2015,237.1844,237.6588,238.7259,235.69699
BTC,5/28/2015,237.6708,237.1844,238.7449,236.4294
BTC,5/29/2015,237.2277,237.6708,237.896,236.5359
BTC,6/1/2015,230.8331,233.3328,233.3848,229.1247
BTC,6/2/2015,223.415,230.8331,231.78,221.707
BTC,6/3/2015,226.6168,223.415,227.0337,222.851
BTC,6/4/2015,225.444,226.6168,227.3892,223.8011
BTC,6/5/2015,223.9665,225.444,226.4761,223.8567
BTC,6/8/2015,223.69459,225.8403,226.3259,222.81329
BTC,6/9/2015,228.1884,223.69459,229.769,223.69459
BTC,6/10/2015,229.2025,228.1884,231.1578,227.9487
BTC,6/11/2015,229.9599,229.2025,230.1489,227.9753
BTC,6/12/2015,229.9082,229.9599,230.3864,229.3223
BTC,6/15/2015,234.7473,233.1445,235.5255,232.9418
BTC,6/16/2015,237.39899,234.7473,238.5994,234.4622
BTC,6/17/2015,248.7435,237.39899,254.09699,237.1618
BTC,6/18/2015,247.2359,248.7435,257.8739,246.3936
BTC,6/19/2015,249.0733,247.2359,251.6709,243.46999
BTC,6/22/2015,244.9588,244.15625,245.98075,241.5699
BTC,6/23/2015,247.1273,244.9588,248.2147,243.516
BTC,6/24/2015,243.371,247.1273,247.1273,242.8303
BTC,6/25/2015,240.9204,243.371,243.9954,239.9257
BTC,6/26/2015,242.31912,240.9204,243.6244,240.80059
BTC,6/29/2015,249.42725,250.382,250.382,246.6685
BTC,6/30/2015,258.38549,249.42725,259.242,248.41637
BTC,7/1/2015,261.71749,258.38549,268.22612,258.28612
BTC,7/2/2015,259.62937,261.71749,261.84387,254.73962
BTC,7/3/2015,255.52675,259.62937,259.7935,253.41412
BTC,7/6/2015,267.60762,261.42899,273.81987,257.67137
BTC,7/7/2015,270.07587,267.60762,276.27062,267.562
BTC,7/8/2015,264.356,270.07587,270.17874,263.10912
BTC,7/9/2015,267.943,264.356,272.38087,263.564
BTC,7/10/2015,269.24925,267.943,271.97912,267.06775
BTC,7/13/2015,304.9905,301.03837,313.77387,296.45549
BTC,7/14/2015,290.93137,304.9905,305.38975,277.716
BTC,7/15/2015,288.48787,290.93137,295.87587,285.34275
BTC,7/16/2015,287.55762,288.48787,292.32812,282.4525
BTC,7/17/2015,276.97924,287.55762,288.20425,274.43
BTC,7/20/2015,274.28387,275.30687,275.742,271.63375
BTC,7/21/2015,279.45925,274.28387,279.77188,273.84275
BTC,7/22/2015,274.87242,279.45925,280.47463,273.8729
BTC,7/23/2015,276.2095,274.87242,277.4875,274.2714
BTC,7/24/2015,276.24491,276.2095,276.94,275.09091
BTC,7/27/2015,291.20091,287.83983,292.72608,287.22741
BTC,7/28/2015,293.15058,291.20091,296.14516,285.92725
BTC,7/29/2015,292.99425,293.15058,295.37741,292.12583
BTC,7/30/2015,288.61658,292.99425,292.99425,287.44183
BTC,7/31/2015,286.74491,288.61658,289.71741,285.51133
BTC,8/3/2015,279.48591,278.68258,282.12791,276.68783
BTC,8/4/2015,283.49091,279.48591,284.788,279.47175
BTC,8/5/2015,284.24366,283.49091,285.17558,280.89866
BTC,8/6/2015,280.9375,284.24366,284.35416,280.08975
BTC,8/7/2015,275.92866,280.9375,281.08916,275.92866
BTC,8/10/2015,265.0825,261.75225,266.79691,260.55483
BTC,8/11/2015,264.87516,265.0825,266.348,261.95933
BTC,8/12/2015,270.22325,264.87516,271.20391,264.17225
BTC,8/13/2015,264.14299,270.22325,270.24325,264.14299
BTC,8/14/2015,262.01758,264.14299,265.29758,261.13383
BTC,8/17/2015,258.0065,261.20058,261.20058,255.74041
BTC,8/18/2015,256.44841,258.0065,259.63791,255.34966
BTC,8/19/2015,230.38424,256.44841,256.49283,214.03104
